isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments,ecb_number
2385007,1,1008952,554.0,1.0,20190906,ACC1,00636,756,BROADWAY,1P13567,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC100636,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20190912.0,CAT 1  2017 AOC FILED,
2388345,2,2018063,3337.0,15.0,20190906,ACC1,03974,3318,STEUBEN AVE,2P1369,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC103974,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2412000,1,1058911,1941.0,52.0,20191108,LBLVIO,03490,244,WEST 136 STREET,00920386,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03490,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2407624,5,5107041,1073.0,70.0,20191030,AEUHAZ1,00738,2064,RICHMOND TERRACE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V103019AEUHAZ100738,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35373575K
2416917,3,3397216,1807.0,8.0,20191108,LBLVIO,08407,1095,BEDFORD AVENUE,00077427,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO08407,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2349533,1,1090857,1395.0,26.0,20190516,AEUHAZ1,00420,155,EAST 60 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V051619AEUHAZ100420,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35381698K
2333760,3,3343740,1924.0,7501.0,20190216,BENCH,00464,251,CLASSON AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V021619BENCH00464,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2411606,1,1058260,1920.0,3.0,20191108,LBLVIO,03096,2307,ADAM CLAYTON POWELL JR BOULEVARD,00823877,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03096,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2370760,3,3183488,6809.0,44.0,20190712,C,19-00546,1782,EAST 27 STREET,,BOROUGH COMMISSIONER HAS ORDERED A STOP WORK ORDER UNDER PERMIT                 #321081752 DUE TO SUSPENSION OF SUPERINTENDENT OF CONSTRUCTION'S                LICENSE OF RECORD.  OBSERVED CONSTRUCTION APPROXIMATELY 40% COMPLETE.,V071219C19-00546,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2366837,2,2005057,2682.0,1.0,20190626,AEUHAZ1,00478,1200,UNION AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V062619AEUHAZ100478,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,38268551K
2417747,3,3046268,1663.0,1.0,20191108,LBLVIO,09237,199,PATCHEN AVENUE,00098592,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO09237,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2350991,2,2001910,2420.0,2420.0,20190520,HVCAT5,00027,800,CONCOURSE VILLAGE EAST,2P10200,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019HVCAT500027,V-DOB VIOLATION - ACTIVE,HVCAT5-NYCHA ELEVATOR PERIODIC INSPECTION/TEST,,,
2337114,1,1027154,1102.0,11.0,20190405,EVCAT1,00943,630,W 55TH ST,1F400,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT100943,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2396008,3,3332226,538.0,1.0,20190906,ACH1,00222,123,LORRAINE STREET,3P3028,VIO ISSUED TO NYCHA ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST,V*090619ACH100222,V*-DOB VIOLATION - DISMISSED,ACH1-(NYCHA) - ELEVATOR AFFIRMATION OF CORRECTION,20200127.0,ACC1    2017 INSPECTION/TEST FILED 1/19/18-CITY OWNED,
2413674,2,2114065,3838.0,5.0,20191108,LBLVIO,05164,1108,ZEREGA AVENUE,00114022,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO05164,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2335068,1,1004771,392.0,26.0,20190403,AEUHAZ1,00019,382,EAST 10 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*040319AEUHAZ100019,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190710.0,SQS    PAID INVOICE#_ 62104411,35373828J
2331335,5,5169774,37.0,150.0,20190319,C,0103AM,15,SCRIBNER AVENUE,,THE DEPT OF BLDG INTENDS TO REVOKE THE PERMIT ISSUED IN CONNECTION              WITH THE JOB #520307677 PURSUANT TO 28-105.10.2 OF THE ADMINISTRATIVE           CODE OF THE CITY OF NEW YORK STOP ALL WORK                                                                                                                      REMEDY: COMPLY WITH SUMMONS,V*031919C0103AM,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION,20190327.0,OK TO DISMISS,
2415014,3,3078920,3413.0,27.0,20191108,LBLVIO,06504,1314,HALSEY STREET,00050222,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO06504,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2354765,3,3182177,6770.0,6770.0,20190520,EVCAT5,03220,2302,AVENUE O,3P271,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT503220,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2392909,4,4539244,4973.0,24.0,20190906,ACC1,08538,39-16,PRINCE STREET,4P12556,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC108538,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191010.0,"CAT 1  2017 AOC, PAID FULL PENALTY FAILURE TO  FILE #62127810",
2430215,2,2085311,5871.0,547.0,20191102,BENCH,00615,5940,RIVERDALE AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V110219BENCH00615,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2358909,3,3336716,627.0,38.0,20190502,BENCH,01817,600,4 AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH01817,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190716.0,PD INV#62106446,
2422794,4,4082381,3448.0,39.0,20191108,LBLVIO,14284,1694,GATES AVENUE,00079965,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO14284,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2432444,3,3012833,781.0,1.0,20191211,AEUHAZ1,00333,4923,2 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*121119AEUHAZ100333,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200131.0,ECB DOWNGRADED TO CLASS 2 OR 3,35446762K
2394138,2,2015241,3247.0,70.0,20190906,ACC1,09767,2780,RESERVOIR AVENUE,2P10049,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC109767,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20200310.0,_DG    PERFORMED AOC ON 08/06/2019 FOR 2017,
2420548,3,3044743,1638.0,65.0,20191108,LBLVIO,12038,785,MONROE STREET,00939796,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO12038,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2412496,2,2010175,2961.0,39.0,20191108,LBLVIO,03986,1295,UNION AVENUE,00033361,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03986,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2427742,4,4188755,9079.0,26.0,20190904,AEUHAZ1,00582,101-19,78 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V090419AEUHAZ100582,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39004045P
2379963,1,1056057,1867.0,70.0,20190802,BENCH,00435,430,WEST 116 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH00435,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2350213,4,4018718,864.0,41.0,20190516,AEUHAZ1,01100,25-20,23 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V051619AEUHAZ101100,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35381281P
2421712,4,4182707,8892.0,261.0,20191108,LBLVIO,13202,97-07,JAMAICA AVENUE,00061985,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO13202,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2387030,1,1038517,1326.0,45.0,20190906,ACC1,02659,875,3RD AVE,1S3847,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC102659,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2364420,B,3389460,2251.0,7503.0,20190430,FISPNRF,01354,41,THROOP AVENUE,8C814207,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF01354,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2350195,4,4006595,567.0,49.0,20190516,AEUHAZ1,01082,31-70,CRESCENT STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V051619AEUHAZ101082,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35386536K
2350847,5,5089032,8038.0,10.0,20190517,UB,5101/19,7189,AMBOY ROAD,,,V%051719UB5101/19,V%-UB VIOLATION,UB-UNSAFE BUILDINGS,,,
2328303,5,5014367,563.0,10.0,20190306,AEUHAZ1,01344,271,TARGEE STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ101344,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200205.0,MZX    62163181,35370455M
2348744,M,1016151,847.0,38.0,20190131,FISPNRF,00042,222,PARK AVENUE SOUTH,8B802304,FAILED TO FILE FISP CYCLE 8B TECHNICAL REPORT BY 02/21/2018,V013119FISPNRF00042,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2361379,3,3000937,184.0,25.0,20190503,BENCH,00507,454,ATLANTIC AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050319BENCH00507,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190812.0,NOT A COVERED BUILDING,
2403696,2,2017987,3335.0,16.0,20191017,AEUHAZ1,00502,3133,ROCHAMBEAU AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V101719AEUHAZ100502,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39005274N
2330160,1,1047475,1508.0,31.0,20190318,EARCX,10113,179,EAST 79 STREET,,FAILURE TO SUBMIT AN EER PER AD. CODE SEC. 28-308.4 IN 2018,V031819EARCX10113,V-DOB VIOLATION - ACTIVE,EARCX-FAILURE TO SUBMIT EER,,,
2340729,1,1026646,1059.0,15.0,20190405,EVCAT1,04558,411,WEST 49 STREET,1E376,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT104558,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20200427.0,_DG    PERFORMED AOC ON 2/3/2020 FOR 2017,
2429613,1,1085949,90.0,1.0,20191102,BENCH,00013,1,PARK ROW,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*110219BENCH00013,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20200228.0,PD INV#__62170113,
2398107,3,3088877,3999.0,35.0,20190919,AEUHAZ1,00398,2349,PITKIN AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V091919AEUHAZ100398,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35414684H
2377953,3,3168925,6445.0,31.0,20190822,AEUHAZ1,00523,2108,BATH AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*082219AEUHAZ100523,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191009.0,SQS    PAID INVOICE # 41491730,35425407N
2353107,1,1007193,481.0,481.0,20190520,EVCAT5,01561,400,BROOME STREET,1P32724,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT501561,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20190918.0,"CAT 5  2017 CAT 5, PAID LATE FEE",
2423173,4,4004269,348.0,19.0,20191108,LBLVIO,14663,21-18,36 AVENUE,00101919,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO14663,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2417134,3,3076371,3337.0,27.0,20191108,LBLVIO,08624,274,WYCKOFF AVENUE,00082393,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO08624,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2377422,4,4044950,1784.0,35.0,20190813,C,C0301JR,111-01,ROOSEVELT AVENUE,,BORO COMMISSIONER HAS ORDERED WORK STOPPED FOR JOB # 421606603 DUE TO           REVOCATION OF APPROVALS AND PERMITS,V081319CC0301JR,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2418586,3,3066309,2652.0,5.0,20191108,LBLVIO,10076,184,NORMAN AVENUE,00111275,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO10076,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2433363,1,1084709,929.0,1.0,20191213,C,19-01075,400,2 AVENUE,,"FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER. NOTED, AT THE            TIME OF INSPECTION OBSERVED IN THE 2ND FLOOR LAUNDRY ROOM ALL EXHAUST           DUCT'S COMBINED TOGETHER INTO WOODEN BOX ON 2ND FLOOR REAR ROOF, THIS           BOX TOO CLOSED TO THE WINDOWS LESS THAN 10 FT. CONTRARY TO THE MC               502.7.3.6 AND MC 504.",V121319C19-01075,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION,,,
2432533,3,3071388,3083.0,6.0,20191211,AEUHAZ1,00422,100,WHITE STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V121119AEUHAZ100422,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,38271175N
2416359,3,3130639,5488.0,42.0,20191108,LBLVIO,07849,5510,16 AVENUE,00072419,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO07849,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2427970,1,1024795,1021.0,26.0,20191112,LL2604S,NRF00105,750,7TH AVENUE,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V111219LL2604SNRF00105,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2339265,1,1004654,387.0,127.0,20190405,EVCAT1,03094,636,EAST 6 STREET,1W5720,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT103094,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20200413.0,EVCAT1 PENALTY PAID,
2330519,1,1001924,175.0,7504.0,20190318,EARCX,00187,271,CHURCH STREET,,FAILURE TO SUBMIT AN EER PER AD. CODE SEC. 28-308.4 - MULTIPLE YEARS (2018),V031819EARCX00187,V-DOB VIOLATION - ACTIVE,EARCX-FAILURE TO SUBMIT EER,,,
2412479,2,2025047,3771.0,11.0,20191108,LBLVIO,03969,1214,EVERGREEN AVENUE,00032043,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03969,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2403664,2,2012926,3105.0,56.0,20191017,AEUHAZ1,00470,2411,CROTONA AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V101719AEUHAZ100470,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35426306Z
2407068,2,2006148,2750.0,22.0,20191030,AEUHAZ1,00182,1210,WESTCHESTER AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*103019AEUHAZ100182,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20200207.0,ECB DISMISSED,35434381Z
2409224,1,1008301,526.0,23.0,20191108,LBLVIO,00714,192,BLEECKER STREET,00031627,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00714,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2331143,3,3335899,156.0,7502.0,20190311,E,2358H271478,422,FULTON STREET,003E5231,CEASE USE,V031119E2358H271478,V-DOB VIOLATION - ACTIVE,E-ELEVATOR,,,
2382997,1,1083768,1054.0,48.0,20190903,LL2604S,NRF00866,432,WEST 45 STREET,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V*090319LL2604SNRF00866,V*-DOB VIOLATION - DISMISSED,LL2604S-SPRINKLER,20191016.0,CAW    NOT SUBJECTED TO SPRINKLER.,
2411383,1,1035476,1287.0,61.0,20191108,LBLVIO,02873,14,EAST 52 STREET,00170785,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO02873,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20200131.0,"DAACIA DISMISSED,FULL PENALTY PD $1000         INV#62161992 CHK#2385226",
2352747,1,1079000,167.0,167.0,20190520,EVCAT5,01201,100,CENTRE STREET,1P20775,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT501201,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20191030.0,"CIAMDD DISMISSED,CAT5 PERFORMED 1/3/2018 & FILED 3/29/19- CITY OWNED(DCAS)",
2318923,4,4157902,7354.0,94.0,20190109,AEUHAZ1,01125,47-52,203 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*010919AEUHAZ101125,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190301.0,ECB DISMISSED,35352152X
2352014,4,4113183,5003.0,5003.0,20190520,EVCAT5,00467,35-05,PARSONS BOULEVARD,4P914,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V052019EVCAT500467,V-DOB VIOLATION - ACTIVE,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,,,
2337586,1,1048070,1517.0,1.0,20190405,EVCAT1,01415,1081,PARK AVE,1P14966,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT101415,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190513.0,EVCAT1 2017 ANNUAL INSPECTION PROFORMED 6/16/17,
2331603,2,2127651,3149.0,65.0,20190306,AEUHAZ1,00253,2017,VALENTINE AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100253,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,38267031M
2347000,3,3000076,35.0,9.0,20190503,LANDMK,19-0371,11,OLD FULTON STREET,,,V050319LANDMK19-0371,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK,,,
2401752,5,5129727,2867.0,214.0,20191001,RWNRF,01305,15,SANDRA LANE,,FAILED TO FILE CYCLE 1 TECHNICAL REPORT BY 12/31/2018 PER RCNY 103-09,V100119RWNRF01305,V-DOB VIOLATION - ACTIVE,RWNRF-RETAINING WALL,,,
2354105,2,2057550,4653.0,4653.0,20190520,EVCAT5,02559,3856,BRONX BOULEVARD,2P3208,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT502559,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20190809.0,JMA    2017 CAT 1 PERFORMED 6-1-17             PENALTY PAID INV#62090314,
2320933,3,3044261,1625.0,1.0,20190123,AEUHAZ1,00307,585,QUINCY STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V012319AEUHAZ100307,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35354601L
2336878,1,1016881,856.0,58.0,20190405,EVCAT1,00707,54,MADISON AVE,1W5409,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT100707,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2427478,3,3047053,1674.0,10.0,20190904,AEUHAZ1,00318,240,MAC DONOUGH STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*090419AEUHAZ100318,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191202.0,GNC    PAID INVOICE 62140410,35414681M
2409444,1,1077969,459.0,46.0,20191108,LBLVIO,00934,7,EAST 3 STREET,00044052,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00934,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2374705,3,3074794,3279.0,1.0,20190805,C,E30401AK,431,KNICKERBOCKER AVENUE,,,V*080519CE30401AK,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION,20190829.0,VIOLATION COMPLIED WITH,
2327669,3,3077575,3383.0,2.0,20190306,AEUHAZ1,00711,479,CENTRAL AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100711,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35352346Y
2323047,3,3101231,4650.0,79.0,20190206,AEUHAZ1,00316,285,EAST 95 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V020619AEUHAZ100316,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35303934J
2397717,1,1002393,200.0,20.0,20190919,AEUHAZ1,00008,79,MOTT STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*091919AEUHAZ100008,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191018.0,999999 PD INV#62128130,35437802L
2381478,4,4307178,196.0,7501.0,20190802,BENCH,01616,47-35,41 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH01616,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2382550,1,1027189,1113.0,18.0,20190903,LL2604S,NRF00419,1841,BROADWAY,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V090319LL2604SNRF00419,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2389139,3,3137601,5639.0,1.0,20190906,ACC1,04768,4915,10 AV,3P10524,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC104768,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2417598,3,3199702,7351.0,9.0,20191108,LBLVIO,09088,1822,AVENUE U,00097336,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO09088,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
